,Country,Country_Code,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
163,Tajikistan, TJK,CORRUP.HOM,,,,,,18,20,21,22,21,20,20,21,22.7,22,22,23,26,,,
164,Tanzania, TZA,CORRUP.HOM,19,19,25,22,27,25,28,29,29,32,30,26,27,29.5,35,33,31,30,,,
165,Thailand, THA,CORRUP.HOM,30,32,32,32,32,33,36,38,36,33,35,34,35,33.8,37,35,38,38,,,
166,Togo, TGO,CORRUP.HOM,,,,,,,,,24,23,27,28,24,23.8,30,29,29,32,,,
167,Tonga, TON,CORRUP.HOM,,,,,,,,,,17,24,30,30,31.4,-,-,-,-,,,
168,Trinidad and Tobago, TTO,CORRUP.HOM,,,,53,49,46,42,38,32,34,36,36,36,31.7,39,38,38,39,,,
169,Tunisia, TUN,CORRUP.HOM,50,50,52,53,48,49,50,49,46,42,44,42,43,37.6,41,41,40,38,,,
170,Turkey, TUR,CORRUP.HOM,34,36,38,36,32,31,32,35,38,41,46,44,44,42.1,49,50,45,42,,,
171,Turkmenistan, TKM,CORRUP.HOM,,,,,,,20,18,22,20,18,18,16,16,17,17,17,18,,,
172,Uganda, UGA,CORRUP.HOM,26,22,23,19,21,22,26,25,27,28,26,25,25,24.3,29,26,26,25,,,
173,Ukraine, UKR,CORRUP.HOM,28,26,15,21,24,23,22,26,28,27,25,22,24,23,26,25,26,27,,,
174,United Arab Emirates, ARE,CORRUP.HOM,,,,,,52,61,62,62,57,59,65,63,68.2,68,69,70,70,,,
175,United Kingdom, GBR,CORRUP.HOM,87,86,87,83,87,87,86,86,86,84,77,77,76,77.8,74,76,78,81,,,
176,United States, USA,CORRUP.HOM,75,75,78,76,77,75,75,76,73,72,73,75,71,71.4,73,73,74,76,,,
177,Uruguay, URY,CORRUP.HOM,43,44,,51,51,55,62,59,64,67,69,67,69,70.4,72,73,73,74,,,
178,Uzbekistan, UZB,CORRUP.HOM,,18,24,27,29,24,23,22,21,17,18,17,16,16.2,17,17,18,19,,,
179,Vanuatu, VUT,CORRUP.HOM,,,,,,,,,,31,29,32,36,35.3,-,-,-,-,,,
180,Venezuela, VEN,CORRUP.HOM,23,26,27,28,25,24,23,23,23,20,19,19,20,18.9,19,20,19,17,,,
181,Vietnam, VNM,CORRUP.HOM,25,26,25,26,24,24,26,26,26,26,27,27,27,28.6,31,31,31,31,,,
182,Yemen, YEM,CORRUP.HOM,,,,,,26,24,27,26,25,23,21,22,20.8,23,18,19,18,,,
183,Zambia, ZMB,CORRUP.HOM,35,35,34,26,26,25,26,26,26,26,28,30,30,32,37,38,38,38,,,
184,Zimbabwe, ZWE,CORRUP.HOM,42,41,30,29,27,23,23,26,24,21,18,22,24,22.3,20,21,21,21,,,
185,,AFG,CORRUP.HOM,,,,,,,,,,,,,,,,,,,15,15,16
186,,ALB,CORRUP.HOM,,,,,,,,,,,,,,,,,,,39,38,36
187,,DZA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,34,33,35
188,,AGO,CORRUP.HOM,,,,,,,,,,,,,,,,,,,18,19,19
189,,ARG,CORRUP.HOM,,,,,,,,,,,,,,,,,,,36,39,40
190,,ARM,CORRUP.HOM,,,,,,,,,,,,,,,,,,,33,35,35
191,,AUS,CORRUP.HOM,,,,,,,,,,,,,,,,,,,79,77,77
192,,AUT,CORRUP.HOM,,,,,,,,,,,,,,,,,,,75,75,76
193,,AZE,CORRUP.HOM,,,,,,,,,,,,,,,,,,,30,31,25
194,,BHS,CORRUP.HOM,,,,,,,,,,,,,,,,,,,66,65,65
195,,BHR,CORRUP.HOM,,,,,,,,,,,,,,,,,,,43,36,36
196,,BGD,CORRUP.HOM,,,,,,,,,,,,,,,,,,,26,28,26
197,,BRB,CORRUP.HOM,,,,,,,,,,,,,,,,,,,61,68,68
198,,BLR,CORRUP.HOM,,,,,,,,,,,,,,,,,,,40,44,44
199,,BEL,CORRUP.HOM,,,,,,,,,,,,,,,,,,,77,75,75
200,,BEN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,36,39,40
201,,BTN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,65,67,68
202,,BOL,CORRUP.HOM,,,,,,,,,,,,,,,,,,,33,33,29
203,,BIH,CORRUP.HOM,,,,,,,,,,,,,,,,,,,39,38,38
204,,BWA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,60,61,61
205,,BRA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,40,37,35
206,,BRN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,58,62,63
207,,BGR,CORRUP.HOM,,,,,,,,,,,,,,,,,,,41,43,42
208,,BFA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,42,42,41
209,,BDI,CORRUP.HOM,,,,,,,,,,,,,,,,,,,20,22,17
210,,CPV,CORRUP.HOM,,,,,,,,,,,,,,,,,,,59,55,57
211,,KHM,CORRUP.HOM,,,,,,,,,,,,,,,,,,,21,21,20
212,,CMR,CORRUP.HOM,,,,,,,,,,,,,,,,,,,26,25,25
213,,CAN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,82,82,81
214,,CAF,CORRUP.HOM,,,,,,,,,,,,,,,,,,,20,23,26
215,,TCD,CORRUP.HOM,,,,,,,,,,,,,,,,,,,20,20,19
216,,CHL,CORRUP.HOM,,,,,,,,,,,,,,,,,,,66,67,67
217,,CHN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,40,41,39
218,,COL,CORRUP.HOM,,,,,,,,,,,,,,,,,,,37,37,36
219,,COM,CORRUP.HOM,,,,,,,,,,,,,,,,,,,24,27,27
220,,COG,CORRUP.HOM,,,,,,,,,,,,,,,,,,,20,21,19
221,,CRI,CORRUP.HOM,,,,,,,,,,,,,,,,,,,58,59,56
222,,CIV,CORRUP.HOM,,,,,,,,,,,,,,,,,,,34,36,35
223,,HRV,CORRUP.HOM,,,,,,,,,,,,,,,,,,,49,49,48
224,,CUB,CORRUP.HOM,,,,,,,,,,,,,,,,,,,47,47,47
225,,CYP,CORRUP.HOM,,,,,,,,,,,,,,,,,,,55,57,59
226,,CZE,CORRUP.HOM,,,,,,,,,,,,,,,,,,,55,57,59
227,,COD,CORRUP.HOM,,,,,,,,,,,,,,,,,,,21,21,20
228,,DNK,CORRUP.HOM,,,,,,,,,,,,,,,,,,,90,88,88
229,,DJI,CORRUP.HOM,,,,,,,,,,,,,,,,,,,30,31,31
230,,DMA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,59,57,57
231,,DOM,CORRUP.HOM,,,,,,,,,,,,,,,,,,,31,29,30
232,,ECU,CORRUP.HOM,,,,,,,,,,,,,,,,,,,31,32,34
233,,EGY,CORRUP.HOM,,,,,,,,,,,,,,,,,,,34,32,35
234,,SLV,CORRUP.HOM,,,,,,,,,,,,,,,,,,,36,33,35
235,,GNQ,CORRUP.HOM,,,,,,,,,,,,,,,,,,,,17,16
236,,ERI,CORRUP.HOM,,,,,,,,,,,,,,,,,,,18,20,24
237,,EST,CORRUP.HOM,,,,,,,,,,,,,,,,,,,70,71,73
238,,ETH,CORRUP.HOM,,,,,,,,,,,,,,,,,,,34,35,34
239,,FIN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,89,85,85
240,,FRA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,69,70,72
241,,GAB,CORRUP.HOM,,,,,,,,,,,,,,,,,,,35,32,31
242,,GMB,CORRUP.HOM,,,,,,,,,,,,,,,,,,,26,30,37
243,,GEO,CORRUP.HOM,,,,,,,,,,,,,,,,,,,57,56,58
244,,DEU,CORRUP.HOM,,,,,,,,,,,,,,,,,,,81,81,80
245,,GHA,CORRUP.HOM,,,,,,,,,,,,,,,,,,,43,40,41
246,,GRC,CORRUP.HOM,,,,,,,,,,,,,,,,,,,44,48,45
247,,GRD,CORRUP.HOM,,,,,,,,,,,,,,,,,,,56,52,52
248,,GTM,CORRUP.HOM,,,,,,,,,,,,,,,,,,,28,28,27
249,,GIN,CORRUP.HOM,,,,,,,,,,,,,,,,,,,27,27,28
